Ques No.,Ques Type,Date,Ministry,Member,Subject,links
3032,UNSTARRED,19.03.2020,WOMEN AND CHILD DEVELOPMENT,Rakesh Sinha,Mahila bazaar,https://pqars.nic.in/annex/251/AU3032.docx
3040,UNSTARRED,19.03.2020,WOMEN AND CHILD DEVELOPMENT,Sanjay Singh,Lack of trained professionals at One Stop Centres,https://pqars.nic.in/annex/251/AU3040.docx
3026,UNSTARRED,19.03.2020,WOMEN AND CHILD DEVELOPMENT,Prabhakar Reddy Vemireddy,Marriage of girls before attaining legal age,https://pqars.nic.in/annex/251/AU3026.docx
3027,UNSTARRED,19.03.2020,WOMEN AND CHILD DEVELOPMENT,Parimal Nathwani,Features objectives of Sakhi Centres,https://pqars.nic.in/annex/251/AU3027.docx
2240,UNSTARRED,12.03.2020,WOMEN AND CHILD DEVELOPMENT,Ambika Soni,Distribution of fortified rice to curb malnutrition,https://pqars.nic.in/annex/251/AU2240.docx
2239,UNSTARRED,12.03.2020,WOMEN AND CHILD DEVELOPMENT,Sanjay Seth,Setting up of chairs across different universities,https://pqars.nic.in/annex/251/AU2239.docx
2218,UNSTARRED,12.03.2020,WOMEN AND CHILD DEVELOPMENT,Mahesh Poddar,Special Courts under POCSO,https://pqars.nic.in/annex/251/AU2218.docx
2234,UNSTARRED,12.03.2020,WOMEN AND CHILD DEVELOPMENT,S. Muthukaruppan,ICDS scheme in urban areas,https://pqars.nic.in/annex/251/AU2234.docx
201,STARRED,12.03.2020,WOMEN AND CHILD DEVELOPMENT,Derek O Brien,Trafficking of women,https://pqars.nic.in/annex/251/AS201.docx
2217,UNSTARRED,12.03.2020,WOMEN AND CHILD DEVELOPMENT,Manas Ranjan Bhunia,Salary and honorarium of ICDS Workers,https://pqars.nic.in/annex/251/AU2217.docx
2232,UNSTARRED,12.03.2020,WOMEN AND CHILD DEVELOPMENT,Akhilesh Prasad Singh,Improving infrastructure facilities at Anganwadi Centres,https://pqars.nic.in/annex/251/AU2232.docx
2223,UNSTARRED,12.03.2020,WOMEN AND CHILD DEVELOPMENT,Husain Dalwai,Foster care scheme for children of prisoners,https://pqars.nic.in/annex/251/AU2223.docx
2227,UNSTARRED,12.03.2020,WOMEN AND CHILD DEVELOPMENT,Satyanarayan Jatiya,Utilisation of Nirbhaya Fund,https://pqars.nic.in/annex/251/AU2227.docx
2228,UNSTARRED,12.03.2020,WOMEN AND CHILD DEVELOPMENT,Satyanarayan Jatiya,Action plan and implementation of Nirbhaya Fund,https://pqars.nic.in/annex/251/AU2228.docx
2238,UNSTARRED,12.03.2020,WOMEN AND CHILD DEVELOPMENT,Banda Prakash,Features of YuWaah programme,https://pqars.nic.in/annex/251/AU2238.docx
2222,UNSTARRED,12.03.2020,WOMEN AND CHILD DEVELOPMENT,Chhaya Verma,Funds spent on social schemes,https://pqars.nic.in/annex/251/AU2222.docx
2220,UNSTARRED,12.03.2020,WOMEN AND CHILD DEVELOPMENT,K. Bhabananda Singh,Funds to Manipur under POSHAN Abhiyaan,https://pqars.nic.in/annex/251/AU2220.docx
2221,UNSTARRED,12.03.2020,WOMEN AND CHILD DEVELOPMENT,K. Bhabananda Singh,One Stop Centres in Manipur,https://pqars.nic.in/annex/251/AU2221.docx
2225,UNSTARRED,12.03.2020,WOMEN AND CHILD DEVELOPMENT,Narayan Rane,Funds utilised under POSHAN Abhiyaan in Konkan region,https://pqars.nic.in/annex/251/AU2225.docx
2231,UNSTARRED,12.03.2020,WOMEN AND CHILD DEVELOPMENT,M. Shanmugam,Treating Anganwadi Workers as fulltime workers,https://pqars.nic.in/annex/251/AU2231.docx
2233,UNSTARRED,12.03.2020,WOMEN AND CHILD DEVELOPMENT,Thota Seetharama Lakshmi,Pradhan Mantri Mahila Shakti Kendra,https://pqars.nic.in/annex/251/AU2233.docx
2235,UNSTARRED,12.03.2020,WOMEN AND CHILD DEVELOPMENT,Vandana Chavan,Juvenile Justice Act,https://pqars.nic.in/annex/251/AU2235.docx
2215,UNSTARRED,12.03.2020,WOMEN AND CHILD DEVELOPMENT,Ashok Bajpai,Smart phones for Anganwadi Workers,https://pqars.nic.in/annex/251/AU2215.docx
2216,UNSTARRED,12.03.2020,WOMEN AND CHILD DEVELOPMENT,Ashok Bajpai,Rural villages covered by Anganwadi Centres,https://pqars.nic.in/annex/251/AU2216.docx
2229,UNSTARRED,12.03.2020,WOMEN AND CHILD DEVELOPMENT,Ramkumar Verma,Expenditure incurred in YuWaah programme,https://pqars.nic.in/annex/251/AU2229.docx
2236,UNSTARRED,12.03.2020,WOMEN AND CHILD DEVELOPMENT,Vandana Chavan,Detention of minors in Anti CAA protests,https://pqars.nic.in/annex/251/AU2236.docx
2224,UNSTARRED,12.03.2020,WOMEN AND CHILD DEVELOPMENT,Kanta Kardam,Funds utilisation under various schemes,https://pqars.nic.in/annex/251/AU2224.docx
205,STARRED,12.03.2020,WOMEN AND CHILD DEVELOPMENT,Md. Nadimul Haque,Discrepancies in Pradhan Mantri Matru Vandana Yojand,https://pqars.nic.in/annex/251/AS205.docx
2226,UNSTARRED,12.03.2020,WOMEN AND CHILD DEVELOPMENT,Lal Sinh Vadodia,States having highest number of malnutrition among women,https://pqars.nic.in/annex/251/AU2226.docx
2214,UNSTARRED,12.03.2020,WOMEN AND CHILD DEVELOPMENT,Partap Singh Bajwa,ICT monitoring of ICDS,https://pqars.nic.in/annex/251/AU2214.docx
2219,UNSTARRED,12.03.2020,WOMEN AND CHILD DEVELOPMENT,Y. S. Chowdary,Funds released under various schemes,https://pqars.nic.in/annex/251/AU2219.docx
2237,UNSTARRED,12.03.2020,WOMEN AND CHILD DEVELOPMENT,K. Somaprasad,Review of POSHAN Abhiyaan,https://pqars.nic.in/annex/251/AU2237.docx
2230,UNSTARRED,12.03.2020,WOMEN AND CHILD DEVELOPMENT,Prabhakar Reddy Vemireddy,Implementaion of Integrated Child Development Services,https://pqars.nic.in/annex/251/AU2230.docx
1749,UNSTARRED,05.03.2020,WOMEN AND CHILD DEVELOPMENT,Balwinder Singh Bhunder,Schemes for empowerment of women,https://pqars.nic.in/annex/251/AU1749.docx
1760,UNSTARRED,05.03.2020,WOMEN AND CHILD DEVELOPMENT,Ambika Soni,Honorarium rates of Anganwadi Workers,https://pqars.nic.in/annex/251/AU1760.docx
1750,UNSTARRED,05.03.2020,WOMEN AND CHILD DEVELOPMENT,Neeraj Shekhar,Posts and vacancies under ICDS,https://pqars.nic.in/annex/251/AU1750.docx
1748,UNSTARRED,05.03.2020,WOMEN AND CHILD DEVELOPMENT,Ravi Prakash Verma,Funds allocation for nutrition programme,https://pqars.nic.in/annex/251/AU1748.docx
1745,UNSTARRED,05.03.2020,WOMEN AND CHILD DEVELOPMENT,N. Gokulakrishnan,Scheme for monitoring nutritional status of children,https://pqars.nic.in/annex/251/AU1745.docx
1752,UNSTARRED,05.03.2020,WOMEN AND CHILD DEVELOPMENT,Vikas Mahatme,Digitization of Anganwadi Centres,https://pqars.nic.in/annex/251/AU1752.docx
1603,UNSTARRED,05.03.2020,WOMEN AND CHILD DEVELOPMENT,Mahesh Poddar,Underutilization of funds allocated for welfare of women,https://pqars.nic.in/annex/251/AU1603.docx
1753,UNSTARRED,05.03.2020,WOMEN AND CHILD DEVELOPMENT,Syed Nasir Hussain,Districts identified under BBBP scheme in Karnataka,https://pqars.nic.in/annex/251/AU1753.docx
1756,UNSTARRED,05.03.2020,WOMEN AND CHILD DEVELOPMENT,Selja,Supplementary Nutrition Care,https://pqars.nic.in/annex/251/AU1756.docx
1754,UNSTARRED,05.03.2020,WOMEN AND CHILD DEVELOPMENT,Sarojini Hembram,Targets of Poshan Abhiyaan,https://pqars.nic.in/annex/251/AU1754.docx
1758,UNSTARRED,05.03.2020,WOMEN AND CHILD DEVELOPMENT,Thota Seetharama Lakshmi,Swadhar Greh Scheme,https://pqars.nic.in/annex/251/AU1758.docx
1751,UNSTARRED,05.03.2020,WOMEN AND CHILD DEVELOPMENT,Ram Nath Thakur,Funds allocated from Nirbhaya Fund,https://pqars.nic.in/annex/251/AU1751.docx
1746,UNSTARRED,05.03.2020,WOMEN AND CHILD DEVELOPMENT,Ramkumar Verma,Anganwadi Centres in Rajasthan and Himachal Pradesh,https://pqars.nic.in/annex/251/AU1746.docx
154,STARRED,05.03.2020,WOMEN AND CHILD DEVELOPMENT,Ashok Bajpai,Plan to improve nutrition level of children and lactating mothers,https://pqars.nic.in/annex/251/AS154.docx
1744,UNSTARRED,05.03.2020,WOMEN AND CHILD DEVELOPMENT,L. Hanumanthaiah,Implementation of Pradhan Mantri Matru Vandana Yojana,https://pqars.nic.in/annex/251/AU1744.docx
165,STARRED,05.03.2020,WOMEN AND CHILD DEVELOPMENT,Md. Nadimul Haque,Budgetary allocation under Beti Bachao Beti Padhao Scheme,https://pqars.nic.in/annex/251/AS165.docx
1759,UNSTARRED,05.03.2020,WOMEN AND CHILD DEVELOPMENT,V. Vijayasai Reddy,Anganwadi Workers in Andhra Pradesh,https://pqars.nic.in/annex/251/AU1759.docx
162,STARRED,05.03.2020,WOMEN AND CHILD DEVELOPMENT,Partap Singh Bajwa,Funds released and utilised under POSHAN Abhiyan,https://pqars.nic.in/annex/251/AS162.docx
1755,UNSTARRED,05.03.2020,WOMEN AND CHILD DEVELOPMENT,G.C. Chandrashekhar,Amount collected under Nirbhaya Fund,https://pqars.nic.in/annex/251/AU1755.docx
1757,UNSTARRED,05.03.2020,WOMEN AND CHILD DEVELOPMENT,Amee Yajnik,Welfare and development of women in the country,https://pqars.nic.in/annex/251/AU1757.docx
1747,UNSTARRED,05.03.2020,WOMEN AND CHILD DEVELOPMENT,A. Mohammedjan,Remedial plan by CARA,https://pqars.nic.in/annex/251/AU1747.docx
628,UNSTARRED,06.02.2020,WOMEN AND CHILD DEVELOPMENT,Tiruchi Siva,Cases on child pornography reported to the NCPCR,https://pqars.nic.in/annex/251/AU628.docx
629,UNSTARRED,06.02.2020,WOMEN AND CHILD DEVELOPMENT,Mahesh Poddar,Tracking of missing children,https://pqars.nic.in/annex/251/AU629.docx
636,UNSTARRED,06.02.2020,WOMEN AND CHILD DEVELOPMENT,Rewati Raman Singh,Measures taken to prevent the trafficking of women and children,https://pqars.nic.in/annex/251/AU636.docx
630,UNSTARRED,06.02.2020,WOMEN AND CHILD DEVELOPMENT,Satyanarayan Jatiya,Measures to protect women from crimes,https://pqars.nic.in/annex/251/AU630.docx
632,UNSTARRED,06.02.2020,WOMEN AND CHILD DEVELOPMENT,Selja,Missing children cases,https://pqars.nic.in/annex/251/AU632.docx
637,UNSTARRED,06.02.2020,WOMEN AND CHILD DEVELOPMENT,Vandana Chavan,Gender sensitization of judicial personnel,https://pqars.nic.in/annex/251/AU637.docx
638,UNSTARRED,06.02.2020,WOMEN AND CHILD DEVELOPMENT,Vandana Chavan,Amendments to Sexual Harassment at the Workplace Act,https://pqars.nic.in/annex/251/AU638.docx
626,UNSTARRED,06.02.2020,WOMEN AND CHILD DEVELOPMENT,Sushil Kumar Gupta,Cases filed against women,https://pqars.nic.in/annex/251/AU626.docx
640,UNSTARRED,06.02.2020,WOMEN AND CHILD DEVELOPMENT,R. K. Sinha,Measures adopted to eradicate malnutrition,https://pqars.nic.in/annex/251/AU640.docx
639,UNSTARRED,06.02.2020,WOMEN AND CHILD DEVELOPMENT,Lal Sinh Vadodia,Return of adopted children,https://pqars.nic.in/annex/251/AU639.docx
627,UNSTARRED,06.02.2020,WOMEN AND CHILD DEVELOPMENT,C.M. Ramesh,Implementation of National Nutrition Mission,https://pqars.nic.in/annex/251/AU627.docx
633,UNSTARRED,06.02.2020,WOMEN AND CHILD DEVELOPMENT,Binoy Viswam,Increase in sexual harassment cases in shelter homes,https://pqars.nic.in/annex/251/AU633.docx
634,UNSTARRED,06.02.2020,WOMEN AND CHILD DEVELOPMENT,Binoy Viswam,Child friendly courts,https://pqars.nic.in/annex/251/AU634.docx
635,UNSTARRED,06.02.2020,WOMEN AND CHILD DEVELOPMENT,Amee Yajnik,Crime against children,https://pqars.nic.in/annex/251/AU635.docx
2870,UNSTARRED,12.12.2019,WOMEN AND CHILD DEVELOPMENT,T. Subbarami Reddy,Funds sanctioned under the Nirbhaya Fund Scheme,https://pqars.nic.in/annex/250/AU2870.docx
2871,UNSTARRED,12.12.2019,WOMEN AND CHILD DEVELOPMENT,T. Subbarami Reddy,Meeting targets set under National Nutrition Mission,https://pqars.nic.in/annex/250/AU2871.docx
2876,UNSTARRED,12.12.2019,WOMEN AND CHILD DEVELOPMENT,BIRENDRA PRASAD BAISHYA,Implementation of PMMUY in Assam,https://pqars.nic.in/annex/250/AU2876.docx
2868,UNSTARRED,12.12.2019,WOMEN AND CHILD DEVELOPMENT,Sasmit Patra,Status of women and child development with reference to SDGs of UN,https://pqars.nic.in/annex/250/AU2868.docx
2872,UNSTARRED,12.12.2019,WOMEN AND CHILD DEVELOPMENT,Sasikala Pushpa Ramaswamy,Anganwadi centres in Tamil Nadu,https://pqars.nic.in/annex/250/AU2872.docx
2878,UNSTARRED,12.12.2019,WOMEN AND CHILD DEVELOPMENT,Syed Nasir Hussain,Sexual harassment of children in Juvenile Homes,https://pqars.nic.in/annex/250/AU2878.docx
2869,UNSTARRED,12.12.2019,WOMEN AND CHILD DEVELOPMENT,Syed Nasir Hussain,Setting up and maintenance of Child Care Institutions,https://pqars.nic.in/annex/250/AU2869.docx
2867,UNSTARRED,12.12.2019,WOMEN AND CHILD DEVELOPMENT,Selja,Child Care Institutions in Haryana,https://pqars.nic.in/annex/250/AU2867.docx
2880,UNSTARRED,12.12.2019,WOMEN AND CHILD DEVELOPMENT,Selja,National Adoption Policy,https://pqars.nic.in/annex/250/AU2880.docx
2877,UNSTARRED,12.12.2019,WOMEN AND CHILD DEVELOPMENT,Dharmapuri Srinivas,Proper implementation of Poshan Abhiyan Scheme,https://pqars.nic.in/annex/250/AU2877.docx
2873,UNSTARRED,12.12.2019,WOMEN AND CHILD DEVELOPMENT,Vandana Chavan,Welfare of sex workers in the country,https://pqars.nic.in/annex/250/AU2873.docx
2879,UNSTARRED,12.12.2019,WOMEN AND CHILD DEVELOPMENT,Narayan Lal Panchariya,Implementation of MSK Scheme in Rajasthan,https://pqars.nic.in/annex/250/AU2879.docx
2866,UNSTARRED,12.12.2019,WOMEN AND CHILD DEVELOPMENT,T.G. Venkatesh,Mahila Shakti Kendra Scheme at block level,https://pqars.nic.in/annex/250/AU2866.docx
2865,UNSTARRED,12.12.2019,WOMEN AND CHILD DEVELOPMENT,Rathwa Naranbhai Jemlabhai,Implementation of ICDS in Gujarat,https://pqars.nic.in/annex/250/AU2865.docx
2875,UNSTARRED,12.12.2019,WOMEN AND CHILD DEVELOPMENT,Binoy Viswam,Setting up of Internal Complaints Committee,https://pqars.nic.in/annex/250/AU2875.docx
2874,UNSTARRED,12.12.2019,WOMEN AND CHILD DEVELOPMENT,Parimal Nathwani,MSK scheme in Gujarat and Jharkhand,https://pqars.nic.in/annex/250/AU2874.docx
2080,UNSTARRED,05.12.2019,WOMEN AND CHILD DEVELOPMENT,Ahamed Hassan,Fund allocation under POSHAN Abhiyan,https://pqars.nic.in/annex/250/AU2080.docx
188,STARRED,05.12.2019,WOMEN AND CHILD DEVELOPMENT,Sasmit Patra,Anganwadis in the country,https://pqars.nic.in/annex/250/AS188.docx
2075,UNSTARRED,05.12.2019,WOMEN AND CHILD DEVELOPMENT,S. Muthukaruppan,Protection of Children from Sexual Offences Act,https://pqars.nic.in/annex/250/AU2075.docx
2070,UNSTARRED,05.12.2019,WOMEN AND CHILD DEVELOPMENT,Sasikala Pushpa Ramaswamy,Shortage of Working Women Hostel,https://pqars.nic.in/annex/250/AU2070.docx
2068,UNSTARRED,05.12.2019,WOMEN AND CHILD DEVELOPMENT,Ajay Pratap Singh,Pay and allowances to Anganwadi workers,https://pqars.nic.in/annex/250/AU2068.docx
2069,UNSTARRED,05.12.2019,WOMEN AND CHILD DEVELOPMENT,Ritabrata Banerjee,Increase in number of malnourished children,https://pqars.nic.in/annex/250/AU2069.docx
2076,UNSTARRED,05.12.2019,WOMEN AND CHILD DEVELOPMENT,Kirodi Lal Meena,Abandoned children living in children homes,https://pqars.nic.in/annex/250/AU2076.docx
2073,UNSTARRED,05.12.2019,WOMEN AND CHILD DEVELOPMENT,VAIKO,Children in shelter homes not getting jobs,https://pqars.nic.in/annex/250/AU2073.docx
2074,UNSTARRED,05.12.2019,WOMEN AND CHILD DEVELOPMENT,Ramkumar Verma,Death of children due to malnourishment,https://pqars.nic.in/annex/250/AU2074.docx
2079,UNSTARRED,05.12.2019,WOMEN AND CHILD DEVELOPMENT,Sukhram Singh Yadav,Malnourished children in the age group of 0 6 years,https://pqars.nic.in/annex/250/AU2079.docx
2072,UNSTARRED,05.12.2019,WOMEN AND CHILD DEVELOPMENT,Ashok Bajpai,Funds allocated used for BBBP by Uttar Pradesh,https://pqars.nic.in/annex/250/AU2072.docx
2071,UNSTARRED,05.12.2019,WOMEN AND CHILD DEVELOPMENT,Rathwa Naranbhai Jemlabhai,One Stop Centres in Gujarat,https://pqars.nic.in/annex/250/AU2071.docx
2077,UNSTARRED,05.12.2019,WOMEN AND CHILD DEVELOPMENT,Partap Singh Bajwa,Vacancies in Rasthriya Mahila Kosh,https://pqars.nic.in/annex/250/AU2077.docx
2078,UNSTARRED,05.12.2019,WOMEN AND CHILD DEVELOPMENT,Prabhakar Reddy Vemireddy,Rise in crimes against children,https://pqars.nic.in/annex/250/AU2078.docx
2067,UNSTARRED,05.12.2019,WOMEN AND CHILD DEVELOPMENT,Binoy Viswam,Child mortality data,https://pqars.nic.in/annex/250/AU2067.docx
1262,UNSTARRED,28.11.2019,WOMEN AND CHILD DEVELOPMENT,Rajkumar Dhoot,UNICEF report on malnourishment in children,https://pqars.nic.in/annex/250/AU1262.docx
1273,UNSTARRED,28.11.2019,WOMEN AND CHILD DEVELOPMENT,Ahmed Patel,Acute malnutrition in India,https://pqars.nic.in/annex/250/AU1273.docx
1277,UNSTARRED,28.11.2019,WOMEN AND CHILD DEVELOPMENT,P.L. Punia,Unregistered child care institutions,https://pqars.nic.in/annex/250/AU1277.docx
1266,UNSTARRED,28.11.2019,WOMEN AND CHILD DEVELOPMENT,Nazir Ahmed Laway,Stipend to persons engaged under various schemes,https://pqars.nic.in/annex/250/AU1266.docx
1272,UNSTARRED,28.11.2019,WOMEN AND CHILD DEVELOPMENT,Anil Desai,Cases of child marriage,https://pqars.nic.in/annex/250/AU1272.docx
1276,UNSTARRED,28.11.2019,WOMEN AND CHILD DEVELOPMENT,Mahesh Poddar,Changes in institutional frameworks to deal with sexual harassment at workplace,https://pqars.nic.in/annex/250/AU1276.docx
108,STARRED,28.11.2019,WOMEN AND CHILD DEVELOPMENT,Mahesh Poddar,Complaints regarding condition of Anganwadi Centres,https://pqars.nic.in/annex/250/AS108.docx
112,STARRED,28.11.2019,WOMEN AND CHILD DEVELOPMENT,Manas Ranjan Bhunia,Plan to increase Anganwadi Centres,https://pqars.nic.in/annex/250/AS112.docx
119,STARRED,28.11.2019,WOMEN AND CHILD DEVELOPMENT,Banda Prakash,National Nutrition Mission,https://pqars.nic.in/annex/250/AS119.docx
1264,UNSTARRED,28.11.2019,WOMEN AND CHILD DEVELOPMENT,Banda Prakash,Monitoring mechanism under Poshan Abhiyan,https://pqars.nic.in/annex/250/AU1264.docx
1265,UNSTARRED,28.11.2019,WOMEN AND CHILD DEVELOPMENT,Banda Prakash,Issue of LOC on NRI matrimonial disputes,https://pqars.nic.in/annex/250/AU1265.docx
1278,UNSTARRED,28.11.2019,WOMEN AND CHILD DEVELOPMENT,Satyanarayan Jatiya,Infrastructure pertaining to Anganwadi buildings,https://pqars.nic.in/annex/250/AU1278.docx
1280,UNSTARRED,28.11.2019,WOMEN AND CHILD DEVELOPMENT,Sarojini Hembram,Steps taken to curb air pollution,https://pqars.nic.in/annex/250/AU1280.docx
1279,UNSTARRED,28.11.2019,WOMEN AND CHILD DEVELOPMENT,Vinay P. Sahasrabuddhe,Number of law suits filed against Department,https://pqars.nic.in/annex/250/AU1279.docx
106,STARRED,28.11.2019,WOMEN AND CHILD DEVELOPMENT,Ahmad Ashfaque Karim,"Malnourishment among women in Koshi and Purnia division, Bihar",https://pqars.nic.in/annex/250/AS106.docx
110,STARRED,28.11.2019,WOMEN AND CHILD DEVELOPMENT,Md. Nadimul Haque,Poor financial condition of Anganwadi workers,https://pqars.nic.in/annex/250/AS110.docx
1269,UNSTARRED,28.11.2019,WOMEN AND CHILD DEVELOPMENT,K.J. Alphons,Stunting among children,https://pqars.nic.in/annex/250/AU1269.docx
1263,UNSTARRED,28.11.2019,WOMEN AND CHILD DEVELOPMENT,Sushil Kumar Gupta,Cases filed under POCSO,https://pqars.nic.in/annex/250/AU1263.docx
1271,UNSTARRED,28.11.2019,WOMEN AND CHILD DEVELOPMENT,Kumar Ketkar,Spending on child education,https://pqars.nic.in/annex/250/AU1271.docx
1274,UNSTARRED,28.11.2019,WOMEN AND CHILD DEVELOPMENT,Wansuk Syiem,YuWaah youth skilling initiative,https://pqars.nic.in/annex/250/AU1274.docx
1270,UNSTARRED,28.11.2019,WOMEN AND CHILD DEVELOPMENT,R. K. Sinha,Dowry practices in the society,https://pqars.nic.in/annex/250/AU1270.docx
1267,UNSTARRED,28.11.2019,WOMEN AND CHILD DEVELOPMENT,Partap Singh Bajwa,Disbursement of funds under Rashtriya Mahila Kosh,https://pqars.nic.in/annex/250/AU1267.docx
1268,UNSTARRED,28.11.2019,WOMEN AND CHILD DEVELOPMENT,Partap Singh Bajwa,Impact of Rashtriya Mahila Kosh Scheme,https://pqars.nic.in/annex/250/AU1268.docx
1275,UNSTARRED,28.11.2019,WOMEN AND CHILD DEVELOPMENT,Amee Yajnik,Malnourishment in women and children,https://pqars.nic.in/annex/250/AU1275.docx
632,UNSTARRED,21.11.2019,WOMEN AND CHILD DEVELOPMENT,Kanwar Deep Singh,Tackling the problem of malnutrition among children,https://pqars.nic.in/annex/250/AU632.docx
636,UNSTARRED,21.11.2019,WOMEN AND CHILD DEVELOPMENT,Balwinder Singh Bhunder,Implementation of Centrally Sponsored Schemes by the Ministry,https://pqars.nic.in/annex/250/AU636.docx
58,STARRED,21.11.2019,WOMEN AND CHILD DEVELOPMENT,Jharna Das Baidya,Status of Sexual Harassment of Women at Workplace Act,https://pqars.nic.in/annex/250/AS58.docx
640,UNSTARRED,21.11.2019,WOMEN AND CHILD DEVELOPMENT,Manas Ranjan Bhunia,Increase in salary of workers and helpers,https://pqars.nic.in/annex/250/AU640.docx
634,UNSTARRED,21.11.2019,WOMEN AND CHILD DEVELOPMENT,Sasikala Pushpa Ramaswamy,Implementation of Poshan Abhiyaan,https://pqars.nic.in/annex/250/AU634.docx
638,UNSTARRED,21.11.2019,WOMEN AND CHILD DEVELOPMENT,T.G. Venkatesh,Vegetable cultivation in Anganwadi Centres,https://pqars.nic.in/annex/250/AU638.docx
633,UNSTARRED,21.11.2019,WOMEN AND CHILD DEVELOPMENT,Rathwa Naranbhai Jemlabhai,Implementation of Bal Poshan Mission in Gujarat,https://pqars.nic.in/annex/250/AU633.docx
637,UNSTARRED,21.11.2019,WOMEN AND CHILD DEVELOPMENT,Narain Dass Gupta,Child deaths due to malnutrition,https://pqars.nic.in/annex/250/AU637.docx
635,UNSTARRED,21.11.2019,WOMEN AND CHILD DEVELOPMENT,Shanta Chhetri,One Stop Centre for women in distress,https://pqars.nic.in/annex/250/AU635.docx
639,UNSTARRED,21.11.2019,WOMEN AND CHILD DEVELOPMENT,Sanjay Singh,Draft National Policy for Women,https://pqars.nic.in/annex/250/AU639.docx
3807,UNSTARRED,25.07.2019,WOMEN AND CHILD DEVELOPMENT,A. K. Selvaraj,Distribution of nutritious items by speed post,https://pqars.nic.in/annex/249/Au3807.docx
3808,UNSTARRED,25.07.2019,WOMEN AND CHILD DEVELOPMENT,Rajeev Chandrasekhar,Unregistered Child Care Institutions,https://pqars.nic.in/annex/249/Au3808.docx
3809,UNSTARRED,25.07.2019,WOMEN AND CHILD DEVELOPMENT,Rajeev Chandrasekhar,Controlling child porn related crimes,https://pqars.nic.in/annex/249/Au3809.docx
3799,UNSTARRED,25.07.2019,WOMEN AND CHILD DEVELOPMENT,K.C. Ramamurthy,Name of father on degrees and passports,https://pqars.nic.in/annex/249/Au3799.docx
3801,UNSTARRED,25.07.2019,WOMEN AND CHILD DEVELOPMENT,Vikas Mahatme,Mahila Police Volunteers,https://pqars.nic.in/annex/249/Au3801.docx
3812,UNSTARRED,25.07.2019,WOMEN AND CHILD DEVELOPMENT,Vikas Mahatme,Abuse and trolling of women on social media,https://pqars.nic.in/annex/249/Au3812.docx
3798,UNSTARRED,25.07.2019,WOMEN AND CHILD DEVELOPMENT,Jharna Das Baidya,Database for registration of marriages,https://pqars.nic.in/annex/249/Au3798.docx
3802,UNSTARRED,25.07.2019,WOMEN AND CHILD DEVELOPMENT,Sanjay Seth,Implementation of objectives of Early Childhood Development,https://pqars.nic.in/annex/249/Au3802.docx
3803,UNSTARRED,25.07.2019,WOMEN AND CHILD DEVELOPMENT,Sanjay Seth,Prevention of stunting among children,https://pqars.nic.in/annex/249/Au3803.docx
3811,UNSTARRED,25.07.2019,WOMEN AND CHILD DEVELOPMENT,Manas Ranjan Bhunia,Increase in AWCs,https://pqars.nic.in/annex/249/Au3811.docx
3806,UNSTARRED,25.07.2019,WOMEN AND CHILD DEVELOPMENT,M.V. Rajeev Gowda,Welfare of children of prisoners,https://pqars.nic.in/annex/249/Au3806.docx
3805,UNSTARRED,25.07.2019,WOMEN AND CHILD DEVELOPMENT,Sasikala Pushpa Ramaswamy,Implementation of POSHAN Abhiyaan,https://pqars.nic.in/annex/249/Au3805.docx
3793,UNSTARRED,25.07.2019,WOMEN AND CHILD DEVELOPMENT,Satyanarayan Jatiya,Making the country free from women and child abuse,https://pqars.nic.in/annex/249/Au3793.docx
3795,UNSTARRED,25.07.2019,WOMEN AND CHILD DEVELOPMENT,Sarojini Hembram,National policy for empowerment of women,https://pqars.nic.in/annex/249/Au3795.docx
3813,UNSTARRED,25.07.2019,WOMEN AND CHILD DEVELOPMENT,Sarojini Hembram,Curbing violence against women,https://pqars.nic.in/annex/249/Au3813.docx
3804,UNSTARRED,25.07.2019,WOMEN AND CHILD DEVELOPMENT,Banda Prakash,Constitution of GoM on sexual harassment at workplace,https://pqars.nic.in/annex/249/Au3804.docx
3796,UNSTARRED,25.07.2019,WOMEN AND CHILD DEVELOPMENT,Narayan Lal Panchariya,Fast track courts for sexual offences against children,https://pqars.nic.in/annex/249/Au3796.docx
3810,UNSTARRED,25.07.2019,WOMEN AND CHILD DEVELOPMENT,Jose K. Mani,Survey of Matru Vandana Yojana,https://pqars.nic.in/annex/249/Au3810.docx
3797,UNSTARRED,25.07.2019,WOMEN AND CHILD DEVELOPMENT,Md. Nadimul Haque,National Creche Scheme,https://pqars.nic.in/annex/249/Au3797.docx
3794,UNSTARRED,25.07.2019,WOMEN AND CHILD DEVELOPMENT,Kumar Ketkar,Rehabilitation of rape victims,https://pqars.nic.in/annex/249/Au3794.docx
3800,UNSTARRED,25.07.2019,WOMEN AND CHILD DEVELOPMENT,R. K. Sinha,Prevention of addiction among children,https://pqars.nic.in/annex/249/Au3800.docx
2993,UNSTARRED,18.07.2019,WOMEN AND CHILD DEVELOPMENT,T. Subbarami Reddy,Report of UN World Food Programme,https://pqars.nic.in/annex/249/Au2993.docx
3004,UNSTARRED,18.07.2019,WOMEN AND CHILD DEVELOPMENT,Rajkumar Dhoot,Survey and data about the street children,https://pqars.nic.in/annex/249/Au3004.docx
